CODSABER,CODPRES,CENTRO_EDUCATIVO,TIPO_INSTITUCION,REGIONAL,PROVINCIA,CANTON,DISTRITO,POBLADO,DIRECCION,LATITUD,LONGITUD
100607-00,0399,J.N. CARLOS SANABRIA MORA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,PAVAS (CENTRO),CONTIGUO AL CORREO DE PAVAS,"9,94362832","-84,13126828"
100608-00,0400,EZEQUIEL MORALES AGUÍLAR,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,PIEDADES,PIEDADES,COSTADO SUR DEL TEMPLO CATOLICO,"9,92854326","-84,21709113"
100609-00,0401,PORFIRIO BRENES CASTRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,SAN VICENTE,SAN VICENTE,COSTADO SUR DE LA IGLESIA CATOLICA,"9,96095989","-84,04930315"
100610-00,0402,J.N. PORFIRIO BRENES CASTRO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,SAN VICENTE,SAN VICENTE,100 SUR DE LA IGLESIA CATOLICA,"9,96053497","-84,04904063"
101216-00,1028,12 DE MARZO DE 1948,PÚBLICO,DIRECCIÓN REGIONAL PÉREZ ZELEDÓN,SAN JOSÉ,PÉREZ ZELEDÓN,SAN ISIDRO DEL GENERAL,DOCE DE MARZO,FRENTE A ENTRADA PRINCIPAL DE SALON EL PRADO,"9,3790006","-83,7052752"
101445-00,1262,ABRAHAM PANIAGUA NÚÑEZ,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,SAN RAMÓN,SAN ISIDRO,VARELA,600 M. NORESTE DE LA ESCUELA LABORATORIO,"10,09237824","-84,46041169"
100613-00,0405,BENJAMÍN HERRERA ANGULO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,ESCAZÚ,SAN MIGUEL,"DEL TEMPLO CAT. SN MIGUEL, 200 SUR Y 75 ESTE","9,91548274","-84,13804371"
100615-00,0408,JOSÉ FABIO GARNIER UGALDE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,RANCHO REDONDO,RANCHO REDONDO,COSTADO SUR PLAZA DEPORTES DE RANCHO REDONDO,"9,96059438","-83,94926137"
100616-00,0409,REPÚBLICA DE ARGENTINA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MERCED,MEXICO,"CALLE 14, AVENIDAS 11 Y 13","9,94091347","-84,08457985"
101429-00,1245,ALFONSO MONGE RAMÍREZ,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,NARANJO,NARANJO,DULCE NOMBRE,FRENTE AL TEMPLO CATOLICO DE DULCE NOMBRE,"10,08522322","-84,37017394"
100618-00,0413,REPUBLICA DE NICARAGUA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,CRISTO REY,AVENIDAS 28 Y 30 CALLE 10 400 S PATIO INCOFER,"9,9212627","-84,08348928"
100619-00,0414,RICARDO JIMÉNEZ OREAMUNO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HOSPITAL,CARIT,100 ESTE DEL HOSPITAL DE LA MUJER A. CARIT,"9,92405904","-84,07902007"
100620-00,0415,QUINCE DE AGOSTO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,TIRRASES,QUINCE DE AGOSTO,"50 ESTE  DE LA GUARDIA RURAL, ULTIMA PARADA","9,89866082","-84,02531558"
100622-00,0417,J.N. REPÚBLICA POPULAR CHINA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,ALAJUELITA,ALAJUELITA,"DEL COSTADO NOROESTE DE LA IGLESIA, 25 NORTE","9,90376359","-84,09912117"
100623-00,0418,ROBERTO CANTILLANO VINDAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,IPIS,LA MORA,250 OESTE DE LA TERMINAL DE BUSES DE LA MORA,"9,96542224","-84,00949889"
100624-00,0419,J.N. ROBERTO CANTILLANO VINDAS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,IPIS,LA MORA,150 SUR DE LA FABRICA HILIAFIASA,"9,96504833","-84,00992526"
100625-00,0420,J.N. JARDINES DE TIBÁS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,ANSELMO LLORENTE,JARDÍNES DE TIBÁS,300 SUR 100 OESTE DE PERIMERCADOS,"9,96031148","-84,06956133"
100626-00,0421,JOSÉ FIGUERES FERRER,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SABANILLA,SABANILLA,FRENTE AL BANCO NACIONAL,"9,94510822","-84,03343558"
100627-00,0422,JORGE VOLIO JIMÉNEZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SANTA ANA,SALITRAL,SALITRAL,COSTADO SUR DE LA IGLESIA CATOLICA,"9,91209606","-84,17876952"
100628-00,0423,JUAN XXIII,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,SAN ANTONIO,COSTADO SUR DEL TEMPLO CATOLICO,"9,90442955","-84,13451359"
100629-00,0424,J.N. JUAN XXIII,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,ESCAZÚ,SAN ANTONIO,TORROTILLO,COSTADO SUR DE LA IGLESIA CATOLICA,"9,90442955","-84,13451359"
102252-00,2087,ALFREDO GONZÁLEZ FLORES,PÚBLICO,DIRECCIÓN REGIONAL HEREDIA ,HEREDIA,SANTA BÁRBARA,JESÚS,ALTAGRACIA,CONTIGUO AL SUPER SAN JOSE,"10,06170997","-84,14332722"
100631-00,0426,REPÚBLICA DOMINICANA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN FRANCISCO DE DOS RÍOS,SAN FRANCISCO DE DOS RÍOS,COSTADO NORTE DE LA IGLESIA CATOLICA,"9,91113326","-84,05689387"
101477-00,1295,ALTO CASTRO,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,VALVERDE VEGA,SARCHÍ SUR,ALTO CASTRO,50 M. NORTE DEL SUPER LA PALMAREÑA,"10,08192539","-84,33508554"
100633-00,0428,SAN FELIPE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN FELIPE,SAN FELIPE,150 SUR DE LA CARNICERIA SAN GERARDO,"9,90187905","-84,10463141"
100634-00,0429,SAN JERÓNIMO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MORAVIA,SAN JERÓNIMO,SAN JERÓNIMO,CONTIGUO A LA POLICIA DE PROXIMIDAD,"10,00583572","-84,01667256"
100635-00,0430,J.N. ISMAEL COTO FERNÁNDEZ,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN JOSECITO,SAN JOSÉCITO,25 SUR DE LA IGLESIA SAN JOSECITO DE ALAJUELI,"9,89260073","-84,10591176"
103010-00,2875,ANTONIO VALLERRIESTRA,PÚBLICO,DIRECCIÓN REGIONAL PUNTARENAS,PUNTARENAS,ESPARZA,SAN JUAN GRANDE,SAN JUAN GRANDE,25 NORESTE DE LA PLAZA DE DEPORTES.,"9,97383825","-84,64181948"
100637-00,0432,FRANKLIN DELANO ROOSEVELT,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,ROOSEVELT,200 SUR DE LA IGLESIA CATOLICA,"9,93020808","-84,05282103"
102750-00,2599,ARENAL,PÚBLICO,DIRECCIÓN REGIONAL CAÑAS,GUANACASTE,TILARÁN,ARENAL,ARENAL,COSTADO NORTE DE LA IGLESIA CATOLICA,"10,54646504","-84,89528823"
102652-00,2498,ARTOLA,PÚBLICO,DIRECCIÓN REGIONAL SANTA CRUZ,GUANACASTE,CARRILLO,SARDINAL,ARTOLA,100 MTS OESTE DE LA PLAZA DEPORTES,"10,50978201","-85,68379805"
102100-00,1931,ARTURO VOLIO JIMÉNEZ,PÚBLICO,DIRECCIÓN REGIONAL CARTAGO,CARTAGO,CARTAGO,SAN NICOLÁS,LIMA,"COSTADO ESTE DE LA PLAZA DE DEPORTES, LA LIMA","9,87031162","-83,94338251"
100641-00,0436,JOSEFITA JURADO DE ALVARADO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,SÁNCHEZ,PINARES,FRENTE A PLAZA CRONOS. CALLE VIEJA TRES RIOS,"9,91157356","-84,01702776"
100642-00,0438,GRANADILLA NORTE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,GRANADILLA,GRANADILLA NORTE,DEL PALI 25M OESTE,"9,93423034","-84,01266232"
100643-00,0439,JOSÉ ANA MARÍN CUBERO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,CORONADO,200 OESTE 200 NORTE DE LA IGLESIA CATOLICA,"9,97886548","-84,00839778"
100644-00,0440,J.N. JOSÉ ANA MARÍN CUBERO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,VÁSQUEZ DE CORONADO,SAN ISIDRO,CORONADO,100 OESTE 350 NORTE DE LA FARMACIA SUCRE,"9,97936382","-84,00847611"
102472-00,2309,ASCENSIÓN ESQUIVEL IBARRA,PÚBLICO,DIRECCIÓN REGIONAL LIBERIA,GUANACASTE,LIBERIA,LIBERIA,CAPULÍN,COSTADO SUR IGLESIA INMACULADA CONCEPCION,"10,62926542","-85,43718981"
100646-00,0442,OTTO HUBBE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,URUCA,EL SOLAR,100 OESTE DE PLAZA URUCA,"9,95910348","-84,1203681"
101297-00,1112,ASCENSIÓN ESQUIVEL IBARRA,PÚBLICO,DIRECCIÓN REGIONAL ALAJUELA,ALAJUELA,ALAJUELA,ALAJUELA,PLAZA ACOSTA,"CALLE 5, AVENIDA 5","10,01921436","-84,21112767"
100648-00,0444,FILOMENA BLANCO DE QUIRÓS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,RANCHO REDONDO,VISTA DEL MAR,150 OESTE DE LA IGLESIA CATOLICA,"9,96550404","-83,99780681"
100649-00,0446,J.N. NAPOLEÓN QUESADA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,ZAPOTE,ZAPOTE (CENTRO),50 METROS SUR DE CASA PRESIDENCIAL,"9,92226922","-84,05495212"
100650-00,0447,NAPOLEÓN QUESADA SALAZAR,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,ZAPOTE,ZAPOTE (CENTRO),75 METROS SUR DE CASA PRESIDENCIAL,"9,92181802","-84,0550425"
100651-00,0448,J.N. JUAN RAFAEL MORA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MERCED,COCACOLA,"COSTADO NORTE DE TORRE MERCEDES, PASEO COLON","9,93631971","-84,0891548"
100652-00,0449,J.N. MARGARITA ESQUIVEL,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,MERCED,MEXICO,DETRAS DE LA ESCUELA REPUBLICA ARGENTINA,"9,94086544","-84,08496571"
100653-00,0450,J.N. FLORA CHACÓN CÓRDOBA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,GOICOECHEA,GUADALUPE,PILAR JIMÉNEZ,200 NORTE DE AYA,"9,94867798","-84,05597379"
100654-00,0451,J.N. JUSTO A. FACIO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CATEDRAL,LUJAN,DE LAS OFICINAS DEL PANI 50 OESTE,"9,92661938","-84,07011364"
100655-00,0452,J.N. LILIA RAMOS VALVERDE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,CATEDRAL,PACIFICO,SAN JOSE CALLE 1 AVENIDA 20 Y 22,"9,92451989","-84,07900623"
101433-00,1250,BARRIO EL CARMEN,PÚBLICO,DIRECCIÓN REGIONAL OCCIDENTE,ALAJUELA,NARANJO,NARANJO,EL CARMEN,400 M. NOROESTE DEL ESTADIO DE NARANJO,"10,10437381","-84,37930877"
102270-00,2105,BARRIO EL SOCORRO,PÚBLICO,DIRECCIÓN REGIONAL HEREDIA ,HEREDIA,SANTO DOMINGO,SAN MIGUEL,SOCORRO,SAN MIGUEL DE STO DOMINGO DE HEREDIA.,"9,97255353","-84,06554281"
100658-00,0455,CEDROS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SABANILLA,CEDROS,100 OESTE Y 100 NORTE DE LA IGLESIA CATOLICA,"9,94194378","-84,0277728"
100660-00,0457,CIPRESES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,CURRIDABAT,CIPRESES,DEL BAC SJ 600 MTS NORTE,"9,91833828","-84,0274963"
100662-00,0459,LA LÍA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,CURRIDABAT,HACIENDA VIEJA,COSTADO ESTE DEL LICEO DE CURRIDABAT,"9,90931278","-84,03084954"
100663-00,0460,BARRIO PINTO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,PINTO,"DE LA BOMBA EL HIGUERON 200SUR,100ESTE Y 500S","9,9261535","-84,04760773"
100664-00,0461,SANTA MARTA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,MONTES DE OCA,SAN PEDRO,SANTA MARTA,50 ESTE DE LA UNIVERSIDAD FIDELITAS,"9,93108858","-84,03514825"
100665-00,0462,SANTA MARTA,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN FRANCISCO DE DOS RÍOS,SANTA MARTA,250 SUR DE LA PLAZOLETA MENDEZ,"9,90753525","-84,06652186"
102247-00,2081,BARRIO FÁTIMA,PÚBLICO,DIRECCIÓN REGIONAL HEREDIA ,HEREDIA,HEREDIA,HEREDIA,FÁTIMA,300 NORTE DE LA IGLESIA CATOLICA,"10,00516817","-84,11991118"
100668-00,0465,MIGUEL OBREGÓN LIZANO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ NORTE,SAN JOSÉ,TIBÁS,SAN JUAN,SAN JUAN,175 DE LA ESQUINA SUROESTE DEL PARQUE TIBAS,"9,9601184","-84,07970055"
100669-00,0466,FINCA SAN JUAN,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,FINCA SAN JUAN,75 SUR DE LA ESCUELA RINCON GRANDE,"9,95409079","-84,15383098"
100670-00,0467,J.N. JORGE DEBRAVO,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,HATILLO,HATILLO 8,300ESTE DE LA IGLESIA DE HATILLO 8,"9,92675685","-84,11098256"
100671-00,0468,J.N. RINCÓN GRANDE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,RINCÓN GRANDE,500 OESTE DE CERAS JHONSON,"9,95500365","-84,15268619"
101571-00,1389,BARRIO LOS ÁNGELES,PÚBLICO,DIRECCIÓN REGIONAL SAN CARLOS,ALAJUELA,SAN CARLOS,QUESADA,COROBICI,200 NORTE 200 OESTE DEL TEMPLO CATOLICO,"10,35569491","-84,439981"
100673-00,0470,RINCÓN GRANDE,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ OESTE,SAN JOSÉ,SAN JOSÉ,PAVAS,RINCÓN GRANDE,500 OESTE DE CERAS JOHNSON,"9,9557689","-84,15360386"
100674-00,0471,JOSÉ MARÍA ZELEDÓN BRENES,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,CURRIDABAT,CURRIDABAT,JOSÉ MARÍA ZELEDÓN,160 OESTE DE MUDANZAS MUNDIALES.,"9,91711529","-84,04174069"
100675-00,0472,LOS PINOS,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,ALAJUELITA,SAN FELIPE,AURORA,600 NOROESTE DE RITEVE,"9,91882344","-84,11800056"
100676-00,0473,HERBERT FARRER KNIGHTS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,MONTERREY,RASTROJALES,CONTIGUO AL SALON COMUNAL,"9,73966848","-84,09283913"
100677-00,0474,OJO DE AGUA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,VUELTA DE JORCO,OJO DE AGUA,A UN COSTADO DE LA PLAZA DE DEPORTES,"9,80188002","-84,12332962"
100678-00,0475,AGUA BLANCA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,PALMICHAL,AGUA BLANCA,FRENTE A LA IGLESIA CATOLICA DE AGUA BLANCA,"9,81068115","-84,18296503"
100679-00,0476,LINDA VISTA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,CARTAGO,LA UNIÓN,RIO AZUL,LINDA VISTA,100 METROS ESTE DE LA TERMINAL DE BUSES.,"9,88468961","-84,02563339"
100680-00,0477,FINCA CAPRI,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,CAPRI,FRENTE A LA PLAZA DE DEPORTES DE LA CAPRI,"9,86662993","-84,06029471"
100681-00,0478,SAUREZ,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,SALITRILLOS,LOURDES,COSTADO NORTE DE LA PLAZA DE DEPORTES,"9,85275837","-84,09783101"
100682-00,0480,SAN RAFAEL,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN RAFAEL ARRIBA,MAIQUETIA,DE LA CARCEL DEL BUEN PASTOR 400 NOROESTE,"9,88543195","-84,07689108"
100683-00,0481,TOMÁS DE ACOSTA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,PALMICHAL,BAJOS DE JORCO,50 OESTE DEL TEMPLO CATOLICO,"9,81355771","-84,21927304"
100685-00,0484,ILDEFONSO CAMACHO PORTUGUEZ,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,LEGUA,LEGUA,200 ESTE DE LA IGLESIA CATOLICA,"9,73499413","-84,10986462"
100686-00,0485,BAJO DE CEDRAL,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,TARBACA,BAJOS DE CEDRAL,2 KM NORTE DEL BENEFICIO COOPE JORCO RL,"9,81366694","-84,13302431"
100687-00,0486,J.N. COLONIA KENNEDY,PÚBLICO,DIRECCIÓN REGIONAL SAN JOSÉ CENTRAL,SAN JOSÉ,SAN JOSÉ,SAN SEBASTIÁN,KENNEDY,DEL COLEGIO RICARDO FERNANDEZ GUARDIA 75 N,"9,91230513","-84,08960319"
100688-00,0487,BIJAGUAL NORTE,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,ASERRÍ,LEGUA,ALTOS DEL AGUACATE,BIJAGUAL NORTE EL ALTO DE ASERRI,"9,65964309","-84,17739424"
100689-00,0488,J.N. MARÍA JIMÉNEZ UREÑA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,FRENTE AL COSTADO NORTE DEL MULTICENTRO,"9,89976843","-84,0671763"
100690-00,0489,MARÍA TERESA OBREGÓN LORIA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,SABANILLAS,BRENON,25 MTS. SUR DEL SALON BREÑON DE SABANILLAS,"9,75816551","-84,25116246"
100691-00,0490,HIGUITO,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,HIGUITO,100 AL OESTE DE LA PULPERIA EL MORADO,"9,85202934","-84,05559258"
100692-00,0491,MARTÍN MORA ROJAS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,FRAILES,BUSTAMANTE,"COSTADO ESTE PLAZA DE DEPORTES, BUSTAMANTE","9,75331923","-84,08455605"
100693-00,0492,JOSÉ TRINIDAD MORA VALVERDE,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,CALLE FALLAS,600 OESTE CLINICA MARCIAL FALLAS.,"9,89243006","-84,07156476"
100694-00,0493,CANGREJAL,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,CANGREGAL,CANGREJAL,75 OESTE DE LA IGLESIA CATOLICA,"9,76400818","-84,21880726"
100695-00,0494,CARAGRAL,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,PALMICHAL,CARAGRAL,FRENTE A LA PLAZA PUBLICA DE CARAGRAL,"9,82474023","-84,14863122"
100696-00,0495,LA LAGUNA,PÚBLICO,DIRECCIÓN REGIONAL LOS SANTOS,SAN JOSÉ,ASERRÍ,LEGUA,BAJO BIJAGUAL,BIJAGUAL CENTRO,"9,64771766","-84,18500041"
100697-00,0496,CEIBA ALTA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,CANGREGAL,CEIBA ALTA,50 METROS AL NORTE DEL TEMPLO CATOLICO,"9,757938","-84,15687903"
100698-00,0497,JOSÉ ÁNGEL PADILLA SOLÍS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN CRISTÓBAL,CRISTO REY,DIAGONAL AL CEMENTERIO,"9,74764359","-84,00071073"
100700-00,0499,ISABEL LA CATÓLICA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,GUAITIL,COYOLAR,4 KM SURESTE DEL DISTRITO DE GUATIL DE ACOSTA,"9,77830044","-84,25529091"
100701-00,0500,LAGUNILLAS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,GUAITIL,LAGUNILLAS,4 KM. AL OESTE DEL CENTRO DE ACOSTA.,"9,81574557","-84,19732554"
100702-00,0501,MANUEL HIDALGO MORA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,ASERRÍ,ASERRI,CONTIGUO AL PALACIO MUNICIPAL,"9,86259872","-84,09354147"
100703-00,0502,SANTA TERESITA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,SALITRILLOS,SANTA TERESITA,CONTIGUO AL ESTADIO ST CENTER,"9,86386175","-84,08332718"
100704-00,0503,TRANQUERILLAS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,SAN GABRIEL,TRANQUERILLAS,TRANQUERILLAS CENTRO,"9,80088812","-84,09991825"
100705-00,0504,JOAQUÍN GARCÍA MONGE,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DESAMPARADOS,DESAMPARADOS,COSTADO OESTE DE LA MUNICIPALIDAD.,"9,89933148","-84,06588841"
100706-00,0505,CORAZÓN DE JESÚS,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,ASERRÍ,CORAZÓN DE JESÚS,DE LA CLINICA DE ASERRI 300 NORTE Y 100 OESTE,"9,87046416","-84,08805769"
100707-00,0506,JOSÉ MARÍA ZELEDÓN BRENES,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,LLANO,CONTIGUO A LA PLAZA DE DEPORTES.,"9,84947487","-84,06598539"
100708-00,0507,EL MANZANO,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,MANZANO,150 MTS ESTE ABASTECEDOR EL MANZANO,"9,81251458","-84,06526807"
100710-00,0509,CIUDADELA FÁTIMA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,DAMAS,FÁTIMA,COSTADO OESTE DEL TEMPLO CATOLICO.,"9,88850754","-84,04120303"
100711-00,0510,CECILIO PIEDRA GUTIÉRREZ,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,FRAILES,FRAILES,FRAILES CENTRO DESAMPARADOS,"9,75102433","-84,05515587"
100712-00,0511,LEANDRO FONSECA NARANJO,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,ROSARIO,GUADARRAMA,800 MTS ESTE DEL PUENTE DE GUADARRAMA,"9,80382038","-84,07696352"
100713-00,0512,GUAITIL,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ACOSTA,GUAITIL,GUAITIL,DIAGONAL GUARDIA RURAL.,"9,79176417","-84,2319521"
100714-00,0513,EDWIN PORRAS ULLOA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,ASERRÍ,SALITRILLOS,HUASO,75 E.TERMINAL DE BUSES CALLE LAJAS EL HUAZO.,"9,86473259","-84,06403992"
100715-00,0514,DR. RAFAEL CALDERÓN MUÑOZ,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,HIGUITO,DE LA IGLESIA CATOLICA 50 MTS. SURESTE.,"9,85766863","-84,05345938"
100716-00,0516,AGUSTIN SEGURA,PÚBLICO,DIRECCIÓN REGIONAL DESAMPARADOS,SAN JOSÉ,DESAMPARADOS,SAN MIGUEL,JERICÓ,FRENTE A LA PLAZA DE DEPORTES,"9,83053198","-84,06179136"
